model,input_size,batch_size,epochs,amp,train_rows_fold1,processed_samples_per_epoch,steps_per_epoch,total_params,trainable_params,forward_flops_batch1,forward_macs_batch1,train_flops_per_epoch_est,total_train_flops_est,checkpoint_size_mb
convnext,224,16,50,True,76800,76800,4800,27826280,27826280,8909538816,4454769408.0,2052757743206400,102637887160320000,318.679
vit-s,224,64,50,True,76800,76800,1200,21668744,21668744,8481675264,4240837632.0,1954177980825600,97708899041280000,248.172
convnext-vit,224,64,50,True,76800,76800,1200,1043849,1043849,357424384,178712192.0,82350578073600,4117528903680000,12.045
